Barcode,Cluster
abmdflna-1,1
abmflkim-1,4
abmkapcf-1,3
abmkffnp-1,1
abmlbidh-1,1
abmmclba-1,3
abmmdhah-1,4
abmmedkb-1,2
abmmpdan-1,1
abmnmlea-1,2
abnajhol-1,3
abnddmda-1,2
abnfkcnh-1,3
abnfmfig-1,4
abngdame-1,1
abngmjko-1,3
abnhdkbf-1,3
abnhgaop-1,2
abniecfd-1,1
abnkkagl-1,1
abnngmdg-1,2
abnnodhf-1,1
abnohdop-1,1
abobckol-1,3
aboeojpl-1,2
abofeclg-1,2
abofpjmg-1,1
abogbjhg-1,1
abogfjjd-1,1
abojccpa-1,2
abokcgej-1,2
abolcajd-1,2
abolgfhc-1,1
abonmllb-1,2
abooaojb-1,4
abpafmpk-1,2
abpcdjeh-1,2
abpcjcbf-1,2
abpdfbpf-1,2
abpdmijm-1,3
abpfgdgf-1,1
abpgdhoe-1,1
abpilego-1,4
abpipbpa-1,4
abpkbphd-1,2
abpknhbd-1,1
abplgooh-1,2
abplkphm-1,1
abpmlepe-1,1
abpnbdkf-1,1
abpncpkg-1,2
abpnedmk-1,4
abppkibi-1,1
abppniam-1,4
acabebln-1,1
acabeiam-1,2
acabmefk-1,2
acaccgmd-1,1
acadagge-1,2
acafaimn-1,4
acaffidj-1,1
acagcncn-1,1
acagheaj-1,2
acahfjnp-1,1
acahmdbl-1,4
acajabap-1,1
acajdbph-1,4
acamegdg-1,1
acamkdcc-1,1
acandhec-1,1
acanjfmk-1,3
acaobcad-1,2
acaplelj-1,1
acbbpafm-1,2
acbdcopl-1,2
acbgfckc-1,2
acbkmdaf-1,4
acbnmadg-1,1
acboikeo-1,2
acboilaj-1,1
acbpmnpm-1,1
accakfdk-1,1
acccbepm-1,1
accfedea-1,2
accfknhf-1,4
acchdmki-1,1
acchoebh-1,2
accjccmf-1,1
acckgjcn-1,2
acclaejl-1,1
accmlaci-1,4
accmnacm-1,4
accokkpa-1,3
accpemjd-1,2
acdamcob-1,4
acdbclco-1,3
acdfiohp-1,1
acdgifjc-1,4
acdinake-1,4
acdmmbcc-1,1
acdpaadc-1,2
acdphjjj-1,1
acdpnnml-1,1
aceaohoo-1,4
aceehemk-1,1
aceekkld-1,4
acefdigo-1,4
aceflemg-1,1
acehiiij-1,4
acehlill-1,2
aceiggbj-1,2
acejecai-1,4
aceogpic-1,2
aceohkdd-1,3
aceopgai-1,1
acfacjhg-1,2
acfbidig-1,3
acfddhie-1,3
acfdfoda-1,4
acfdjgmd-1,4
acfeeabf-1,1
acfemhae-1,4
acfepkga-1,1
acfgdapj-1,4
acfggohp-1,4
acfiapmj-1,4
acfjdjgb-1,4
acfnghjb-1,2
acfoaclo-1,4
acfoelpe-1,2
acfohgih-1,1
acgcbdej-1,4
acgcflel-1,1
acgegkkb-1,4
acgegpkf-1,1
acgfploj-1,3
acgklppj-1,1
acgnaken-1,4
acgpfnpp-1,4
achacobd-1,1
achaplmf-1,2
achbaibg-1,2
achbnacj-1,1
achcpgjh-1,4
achekjja-1,1
achgmhnf-1,1
achgmlil-1,4
achhmbkc-1,1
achkilia-1,2
achminhh-1,1
achmobgm-1,1
achmpgfm-1,3
achngaoo-1,1
achnkook-1,3
achohbgi-1,1
achpgiim-1,1
aciaagam-1,4
aciamnpm-1,4
acidajgm-1,1
aciebgmc-1,1
acieoapa-1,1
acifoabj-1,1
acihcepp-1,2
acihhnmp-1,4
acihjomh-1,4
acijaana-1,4
acijcllp-1,3
acilnicd-1,1
aciloadh-1,4
acilpnih-1,3
aciopnkd-1,2
acipehne-1,3
acjbelah-1,2
acjbmhhh-1,1
acjccfkh-1,2
acjdlnjf-1,1
acjeaejd-1,4
acjgigbj-1,4
acjgjcal-1,1
acjjfpea-1,4
ackbbhcl-1,4
ackcdeml-1,4
ackcmjfk-1,4
ackfcleo-1,1
ackgodjh-1,1
ackhdccl-1,1
ackjdkoe-1,1
ackkhnbl-1,2
ackkpmjh-1,1
acklikla-1,1
acklnfbi-1,1
ackncaaj-1,1
acknponp-1,2
ackpjobd-1,1
ackpmfhg-1,1
aclagafa-1,2
acldehil-1,1
acldkpho-1,4
acledpag-1,3
aclgkfgd-1,1
aclhapnl-1,3
acllmbff-1,1
aclnbmjk-1,2
acmagcka-1,2
acmblldb-1,2
acmchpnf-1,2
acmcnmjp-1,2
acmdapec-1,2
acmeiiem-1,1
acmenhod-1,2
acmfkenm-1,2
acmjefnh-1,1
acmjpnkf-1,3
acmkcapb-1,3
acmklckc-1,2
acmmciad-1,3
acmmobce-1,3
acmnindn-1,1
acmofhen-1,2
acmonfim-1,1
acnajkfl-1,2
acncenhc-1,2
acnekbop-1,2
acnfmbpa-1,2
acngnkoa-1,2
acnhcgfe-1,2
acnhckfd-1,2
acnhhplb-1,3
acniahoa-1,2
acnidaph-1,2
acnkkjje-1,2
acnllhop-1,1
acnolfej-1,2
acobfpdp-1,1
acoeeole-1,4
acohjfap-1,2
acoidhif-1,3
acoigepa-1,1
acojdibf-1,1
acojkecj-1,4
acojndeo-1,1
acokgfob-1,1
aconcegf-1,4
aconlkkn-1,2
acoogklj-1,2
acopbpdi-1,1
acpacdbb-1,1
acpbmnfp-1,3
acpbphil-1,1
acpehfon-1,3
acpfckdc-1,2
acphmfmk-1,2
acpleoof-1,2
acplieec-1,2
acploocd-1,1
acpnidmn-1,2
adabecgm-1,3
adadnfnl-1,3
adafkddh-1,2
adaindog-1,4
adaklndf-1,1
