Barcode,Cluster
aceccoae-1,6
aceciabe-1,5
aceclocg-1,4
acedomla-1,1
aceekcic-1,1
acefofcm-1,5
acegflig-1,3
acehalno-1,2
acehglmb-1,1
acejijdb-1,1
acejikjh-1,2
acejnjng-1,1
acekbckn-1,5
acekcbci-1,2
aceknnli-1,4
acelabej-1,1
acemijof-1,2
acemkfpo-1,5
aceniolo-1,1
aceofnkn-1,1
aceppdgh-1,5
acfbfcjm-1,2
acfbfmmm-1,4
acfbgiba-1,1
acfdojme-1,2
acfecgmj-1,6
acfenkgg-1,1
acfhkkoe-1,1
acfjnlgg-1,4
acfkljla-1,2
acfkndll-1,1
acflajlb-1,2
acflpfbc-1,1
acfmpaik-1,2
acfngghd-1,2
acfnmhdi-1,4
acfongjo-1,1
acfpbiik-1,1
acfpbjbe-1,1
acfpkgkb-1,1
acfpkihh-1,1
acfpkphb-1,1
acgaglgd-1,1
acgckhem-1,1
acgcknjm-1,1
acgdliag-1,6
acgdmang-1,2
acgdpgfh-1,1
acgepaki-1,2
acgfegck-1,4
acgflokc-1,1
acgfmdil-1,4
acggbhik-1,3
acggfpjf-1,1
acglbjnm-1,6
acglhpfo-1,1
acgllnpn-1,1
acglmfoa-1,1
acgmfelb-1,1
acgmlnjc-1,1
acgoaaeg-1,1
acgopaij-1,1
acgopgef-1,6
acgphahg-1,4
achafebg-1,1
achailhl-1,1
achbhdkk-1,1
achccbih-1,1
achdbbko-1,1
achdghhl-1,1
acheejif-1,1
acheiihe-1,1
achekfge-1,1
acheoiga-1,1
achfpnfp-1,2
achgeolc-1,4
achhblne-1,1
achhcggc-1,6
achhgcdn-1,2
achkbeil-1,1
achkkale-1,5
achkmbmp-1,4
achlpchp-1,1
achmdfgj-1,1
achmgmbk-1,4
achpefji-1,6
acicakgi-1,1
acidgipl-1,1
acieahmc-1,2
aciebpkb-1,1
aciekjll-1,6
aciemgfk-1,1
acihipei-1,1
acihnfga-1,5
acijgnjn-1,2
acijhmpm-1,3
acijidgh-1,1
acijnjkg-1,4
acikglkk-1,1
acilgpco-1,1
acimlbdl-1,2
aciopjlm-1,1
acjaanic-1,1
acjadcjd-1,6
acjaiepo-1,6
acjddach-1,1
acjdeioc-1,1
acjejaeb-1,4
acjfgccc-1,1
acjgnoig-1,1
acjielpm-1,1
acjiogne-1,2
acjkdihp-1,2
acjkhiah-1,2
acjkkdim-1,5
acjknimj-1,5
acjljhpc-1,4
acjomcik-1,1
acjpkkkn-1,1
acjpoahi-1,1
ackbfnef-1,4
ackbhdpc-1,2
ackbpdep-1,4
ackdbphi-1,6
ackddlon-1,1
ackdlhje-1,1
ackennob-1,5
ackfbeol-1,3
ackfogan-1,3
ackgcbii-1,4
ackgdanl-1,1
ackggdok-1,2
ackhkemf-1,1
ackihfba-1,4
ackiobcc-1,1
ackjfjnf-1,1
ackjjgik-1,1
ackkdbpb-1,6
ackmjbae-1,3
ackmjgdd-1,4
ackncabp-1,1
ackndnio-1,1
acknmkbj-1,1
ackomcjj-1,6
aclabgnp-1,1
aclabmeg-1,1
aclahcll-1,1
aclbanhf-1,1
aclbicne-1,1
aclboajo-1,1
aclcling-1,1
aclcopde-1,6
aclehibj-1,1
aclgchfo-1,1
aclgckhh-1,1
