NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
TMEM117	1	TMEM117	
CBLN1	1	CBLN1	
OLFM3	1	OLFM3	
APLNR	1	APLNR	
RXRG	1	RXRG	
IFITM10	1	IFITM10	
ADARB1	1	ADARB1	
AVPR1A	1	AVPR1A	
SGK2	1	SGK2	
TRNP1	1	TRNP1	
TRAM1L1	1	TRAM1L1	
SLC36A1	1	SLC36A1	
PTPRU	1	PTPRU	
CKS2	1	CKS2	
FGF13	1	FGF13	
NXNL2	1	NXNL2	
HSPB9	1	HSPB9	
FRY	1	FRY	
CNTN4	1	CNTN4	
DCHS2	1	DCHS2	
MINAR1	1	MINAR1	
SEZ6	1	SEZ6	
SYT2	1	SYT2	
MAG	1	MAG	
ROBO2	1	ROBO2	
SIX4	1	SIX4	
SWT1	1	SWT1	
CAMK4	1	CAMK4	
PPP3R1	1	PPP3R1	
TMEM119	1	TMEM119	
KL	1	KL	
DAB1	1	DAB1	
KCTD12	1	KCTD12	
TMEM196	1	TMEM196	
GPR12	1	GPR12	
LINC00685	1	LINC00685	
GPR150	1	GPR150	
C10orf88	1	C10orf88	
RGS7	1	RGS7	
PDE1A	1	PDE1A	
SFTA2	1	SFTA2	
EEA1	1	EEA1	
MPPED1	1	MPPED1	
GPX2	1	GPX2	
SAMD12	1	SAMD12	
LSMEM1	1	LSMEM1	
MYOZ3	1	MYOZ3	
SYK	1	SYK	
RPRML	1	RPRML	
ENTREP2	1	FAM189A1	
SPTB	1	SPTB	
ZNF2	1	ZNF2	
TBX3	1	TBX3	
GPR61	1	GPR61	
DKK2	1	DKK2	
CHRM2	1	CHRM2	
LINC01094	1	LINC01094	
HHIP	1	HHIP	
SAMD5	1	SAMD5	
CPNE9	1	CPNE9	
ZBTB8B	1	ZBTB8B	
SYTL5	1	SYTL5	
SASS6	1	SASS6	
SERTAD4	1	SERTAD4	
ANKRD36	1	ANKRD36	
ZFYVE9	1	ZFYVE9	
GALM	1	GALM	
PIP5KL1	1	PIP5KL1	
ATP6V1E2	1	ATP6V1E2	
FRMD3	1	FRMD3	
FMO2	1	FMO2	
PARS2	1	PARS2	
NANP	1	NANP	
ST3GAL6	1	ST3GAL6	
POLA2	1	POLA2	
CTXN3	1	CTXN3	
PRC1	1	PRC1	
ZNF165	1	ZNF165	
CPNE5	1	CPNE5	
ZYG11A	1	ZYG11A	
DOK6	1	DOK6	
CRISP2	1	CRISP2	
TMEM229B	1	TMEM229B	
TRIM67	1	TRIM67	
LINC01586	1	LINC01586	
CD36	1	CD36	
RNPC3	1	RNPC3	
LERFS	1	LERFS	
ZNF613	1	ZNF613	
TDRD7	1	TDRD7	
TMSB15B-AS1	1	TMSB15B-AS1	
SIDT1	1	SIDT1	
EPB41L4A	1	EPB41L4A	
MRPL46	1	MRPL46	
OSBPL10	1	OSBPL10	
RFX8	1	RFX8	
TPRG1	1	TPRG1	
COLGALT2	1	COLGALT2	
INSM1	1	INSM1	
EXO5	1	EXO5	
NETO1	1	NETO1	
CHST1	1	CHST1	
EPS8L2	1	EPS8L2	
KLHL1	1	KLHL1	
SLC16A1	1	SLC16A1	
AMDHD1	1	AMDHD1	
ARHGAP28	1	ARHGAP28	
IL12A	1	IL12A	
RHOXF1	1	RHOXF1	
MAP3K14-AS1	1	MAP3K14-AS1	
RORB	1	RORB	
C2orf80	1	C2orf80	
PLP1	1	PLP1	
ATXN8OS	1	ATXN8OS	
SMIM2-AS1	1	SMIM2-AS1	
OTULIN	1	OTULIN	
SKAP2	1	SKAP2	
PAXIP1-AS2	1	PAXIP1-AS2	
ZNF28	1	ZNF28	
FAM166C	1	FAM166C	
KCTD9	1	KCTD9	
TMEM8B	1	TMEM8B	
OXNAD1	1	OXNAD1	
NPAP1	1	NPAP1	
PHF24	1	PHF24	
GID4	1	GID4	
CACNA1I	1	CACNA1I	
PMAIP1	1	PMAIP1	
ASIC2	1	ASIC2	
ADAM12	1	ADAM12	
KCND2	1	KCND2	
TXNDC16	1	TXNDC16	
SLC20A1	1	SLC20A1	
LINC00870	1	LINC00870	
GSTM2	1	GSTM2	
HCN1	1	HCN1	
LINC00630	1	LINC00630	
LINC02615	1	LINC02615	
BCAS1	1	BCAS1	
HYKK	1	HYKK	
AKAP5	1	AKAP5	
GSEC	1	GSEC	
GYG2	1	GYG2	
S1PR5	1	S1PR5	
AGBL4	1	AGBL4	
PDE2A	1	PDE2A	
ANKRD52	1	ANKRD52	
SLITRK4	1	SLITRK4	
MBP	1	MBP	
TMEFF2	1	TMEFF2	
TULP4	1	TULP4	
PGM2L1	1	PGM2L1	
EVI2B	1	EVI2B	
NRIP2	1	NRIP2	
TRIM66	1	TRIM66	
CNTNAP3B	1	CNTNAP3B	
CD8B	1	CD8B	
TSGA10IP	1	TSGA10IP	
CORO6	1	CORO6	
MT-ND6	1	MT-ND6	
RNGTT	1	RNGTT	
RASGEF1A	1	RASGEF1A	
HPCAL1	1	HPCAL1	
CAPN12	1	CAPN12	
SELPLG	1	SELPLG	
FAXC	1	FAXC	
LYPD5	1	LYPD5	
MAGEE2	1	MAGEE2	
TGFB1	1	TGFB1	
PRRT3	1	PRRT3	
FAM131B	1	FAM131B	
HES5	1	HES5	
ADAMTS10	1	ADAMTS10	
SHPK	1	SHPK	
MT-ATP8	1	MT-ATP8	
LRRC3B	1	LRRC3B	
SOX21	1	SOX21	
PEX11A	1	PEX11A	
TEDC1	1	TEDC1	
SLC35F4	1	SLC35F4	
SGCZ	1	SGCZ	
MIR137HG	1	MIR137HG	
AMPH	1	AMPH	
PTGFR	1	PTGFR	
HAS2-AS1	1	HAS2-AS1	
SMAD9	1	SMAD9	
