NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
C5	1	C5	
MRPL36	1	MRPL36	
C3orf14	1	C3orf14	
CPT2	1	CPT2	
PYURF	1	PYURF	
SNAP25-AS1	1	SNAP25-AS1	
H1-0	1	H1F0	
L3MBTL2	1	L3MBTL2	
R3HCC1L	1	R3HCC1L	
MLF2	1	MLF2	
ZNF668	1	ZNF668	
PIK3CD	1	PIK3CD	
ERMARD	1	ERMARD	
MPND	1	MPND	
SZT2	1	SZT2	
KPNA2	1	KPNA2	
PAM16	1	PAM16	
MRPS18B	1	MRPS18B	
DNAJC16	1	DNAJC16	
CCDC80	1	CCDC80	
CPNE3	1	CPNE3	
KIAA1191	1	KIAA1191	
STAR	1	STAR	
ZNF398	1	ZNF398	
B4GALT1-AS1	1	B4GALT1-AS1	
COX7A2	1	COX7A2	
ENAH	1	ENAH	
KLF7	1	KLF7	
ZXDB	1	ZXDB	
MAN2B1	1	MAN2B1	
RNF227	1	RNF227	
CHST8	1	CHST8	
NIT1	1	NIT1	
SIRT1	1	SIRT1	
ZNF606	1	ZNF606	
RUNDC3A-AS1	1	RUNDC3A-AS1	
ZNF12	1	ZNF12	
TM9SF2	1	TM9SF2	
EIF2S2	1	EIF2S2	
DDX51	1	DDX51	
ZRANB1	1	ZRANB1	
FAXDC2	1	FAXDC2	
EFCAB14	1	EFCAB14	
USB1	1	USB1	
ZNF582-DT	1	ZNF582-AS1	
HM13	1	HM13	
TTC27	1	TTC27	
CYCS	1	CYCS	
TMEM62	1	TMEM62	
DYNLRB1	1	DYNLRB1	
SCN1B	1	SCN1B	
RAB2B	1	RAB2B	
STOML2	1	STOML2	
NCOA3	1	NCOA3	
FTX	1	FTX	
C6orf226	1	C6orf226	
PRXL2B	1	PRXL2B	
GSTM4	1	GSTM4	
NDUFAF6	1	NDUFAF6	
CEP44	1	CEP44	
CKAP2	1	CKAP2	
SCARB2	1	SCARB2	
ZNF737	1	ZNF737	
MRPS18A	1	MRPS18A	
RBM8A	1	RBM8A	
HSP90AB1	1	HSP90AB1	
RGP1	1	RGP1	
TPI1	1	TPI1	
DAGLA	1	DAGLA	
IPO5	1	IPO5	
PIGM	1	PIGM	
LAMA4	1	LAMA4	
DPY30	1	DPY30	
CCT5	1	CCT5	
BCKDHA	1	BCKDHA	
MARK3	1	MARK3	
TFCP2	1	TFCP2	
NR2C2	1	NR2C2	
NFYC	1	NFYC	
RBM4	1	RBM4	
BECN1	1	BECN1	
PANTR1	1	PANTR1	
COQ9	1	COQ9	
PLD3	1	PLD3	
TCEANC2	1	TCEANC2	
PSMD8	1	PSMD8	
GSTZ1	1	GSTZ1	
CDON	1	CDON	
MICU2	1	MICU2	
RBFA	1	RBFA	
PLK2	1	PLK2	
AMD1	1	AMD1	
UBAC1	1	UBAC1	
DOCK7	1	DOCK7	
PLCL2	1	PLCL2	
FNBP1	1	FNBP1	
FCHSD1	1	FCHSD1	
TMEM214	1	TMEM214	
UNKL	1	UNKL	
POLR3K	1	POLR3K	
CACNA1A	1	CACNA1A	
PAQR9	1	PAQR9	
PEX7	1	PEX7	
GLRX2	1	GLRX2	
OSTM1	1	OSTM1	
CCT8	1	CCT8	
VARS1	1	VARS	
DNAJA3	1	DNAJA3	
SLC25A18	1	SLC25A18	
DIP2A	1	DIP2A	
SSH1	1	SSH1	
LINC00900	1	LINC00900	
DHPS	1	DHPS	
PPP6C	1	PPP6C	
LINC01625	1	LINC01625	
RNF167	1	RNF167	
SPAG9	1	SPAG9	
HSP90AA1	1	HSP90AA1	
INAFM2	1	INAFM2	
VPS39	1	VPS39	
SKI	1	SKI	
SF3B2	1	SF3B2	
NAP1L3	1	NAP1L3	
TNPO1	1	TNPO1	
SLIT1	1	SLIT1	
GIGYF2	1	GIGYF2	
ETFBKMT	1	ETFBKMT	
USP22	1	USP22	
RNF141	1	RNF141	
ZNF468	1	ZNF468	
FAAP20	1	FAAP20	
DNAJC7	1	DNAJC7	
TDRD6	1	TDRD6	
FARP1	1	FARP1	
G3BP1	1	G3BP1	
DCAF7	1	DCAF7	
CIR1	1	CIR1	
GFM1	1	GFM1	
RASL12	1	RASL12	
NDUFV3	1	NDUFV3	
ATP5F1C	1	ATP5F1C	
KHK	1	KHK	
DDX31	1	DDX31	
NLRP3	1	NLRP3	
PPP1R10	1	PPP1R10	
CACYBP	1	CACYBP	
JMJD4	1	JMJD4	
MTO1	1	MTO1	
PRRG3	1	PRRG3	
DNAJC27-AS1	1	DNAJC27-AS1	
STK16	1	STK16	
GLYCTK	1	GLYCTK	
PTPN18	1	PTPN18	
GAK	1	GAK	
B3GALT2	1	B3GALT2	
RRP1B	1	RRP1B	
ASB3	1	ASB3	
ATP6V1C2	1	ATP6V1C2	
ITGB1	1	ITGB1	
AHCTF1	1	AHCTF1	
PNMA1	1	PNMA1	
DR1	1	DR1	
CNTNAP3	1	CNTNAP3	
HLTF	1	HLTF	
MRPL47	1	MRPL47	
SSB	1	SSB	
ERCC3	1	ERCC3	
YIPF4	1	YIPF4	
TTC21A	1	TTC21A	
SLC25A22	1	SLC25A22	
USF1	1	USF1	
SLC27A3	1	SLC27A3	
ZNF562	1	ZNF562	
HNRNPAB	1	HNRNPAB	
YAF2	1	YAF2	
CACNA1D	1	CACNA1D	
SAFB	1	SAFB	
SRP54	1	SRP54	
SMARCD1	1	SMARCD1	
ZHX3	1	ZHX3	
HYI	1	HYI	
SLC25A37	1	SLC25A37	
SSBP1	1	SSBP1	
SLC8A2	1	SLC8A2	
CEP20	1	FOPNL	
TBC1D14	1	TBC1D14	
APH1B	1	APH1B	
BTF3L4	1	BTF3L4	
STRAP	1	STRAP	
MCF2L2	1	MCF2L2	
GTF2I	1	GTF2I	
METTL3	1	METTL3	
ANKRD13C	1	ANKRD13C	
CAPN15	1	CAPN15	
TMEM267	1	TMEM267	
CEP85	1	CEP85	
FLVCR1-DT	1	FLVCR1-DT	
SCRN2	1	SCRN2	
ZNF664	1	ZNF664	
EFNB2	1	EFNB2	
ST8SIA4	1	ST8SIA4	
LINC01963	1	LINC01963	
ENTPD5	1	ENTPD5	
ARHGEF12	1	ARHGEF12	
ZNF239	1	ZNF239	
NDUFS5	1	NDUFS5	
SPTLC1	1	SPTLC1	
SLC2A11	1	SLC2A11	
ZNF691	1	ZNF691	
PIWIL2	1	PIWIL2	
RPL36AL	1	RPL36AL	
GPX4	1	GPX4	
GPHN	1	GPHN	
GAMT	1	GAMT	
FBXL13	1	FBXL13	
THRA	1	THRA	
SUCO	1	SUCO	
CPSF1	1	CPSF1	
ZNF219	1	ZNF219	
SPOCK2	1	SPOCK2	
ZNF397	1	ZNF397	
STMP1	1	STMP1	
TPGS1	1	TPGS1	
AGO4	1	AGO4	
TNK2	1	TNK2	
SLC19A1	1	SLC19A1	
KMT5A	1	KMT5A	
IPO7	1	IPO7	
PANK3	1	PANK3	
SLF1	1	SLF1	
GART	1	GART	
CCNT2-AS1	1	CCNT2-AS1	
ID2	1	ID2	
EEF1AKMT2	1	EEF1AKMT2	
RFTN2	1	RFTN2	
LTN1	1	LTN1	
SSU72	1	SSU72	
PCID2	1	PCID2	
SRSF3	1	SRSF3	
ELL	1	ELL	
CEBPZ	1	CEBPZ	
RBM19	1	RBM19	
YARS1	1	YARS	
VDAC2	1	VDAC2	
C22orf23	1	C22orf23	
TRAF3IP2-AS1	1	TRAF3IP2-AS1	
JAKMIP1	1	JAKMIP1	
GCLC	1	GCLC	
RAB28	1	RAB28	
DNAH9	1	DNAH9	
GNB1	1	GNB1	
TMEM14A	1	TMEM14A	
PAXIP1	1	PAXIP1	
FAAH	1	FAAH	
CHADL	1	CHADL	
C2orf69	1	C2orf69	
CABLES2	1	CABLES2	
KLHL24	1	KLHL24	
VPS53	1	VPS53	
WWTR1	1	WWTR1	
MON1B	1	MON1B	
D2HGDH	1	D2HGDH	
ARHGEF9	1	ARHGEF9	
NUMA1	1	NUMA1	
HIPK2	1	HIPK2	
MAPKAPK5	1	MAPKAPK5	
MATK	1	MATK	
MRPL9	1	MRPL9	
RPS10	1	RPS10	
NDUFS7	1	NDUFS7	
VIRMA	1	VIRMA	
PTP4A2	1	PTP4A2	
CCDC124	1	CCDC124	
TOMM40L	1	TOMM40L	
RBM26	1	RBM26	
DNAJC8	1	DNAJC8	
RDH11	1	RDH11	
SNHG6	1	SNHG6	
MPDZ	1	MPDZ	
ARHGAP39	1	ARHGAP39	
GPRC5D-AS1	1	GPRC5D-AS1	
LINC02802	1	LINC02802	
DGKG	1	DGKG	
NUDT16	1	NUDT16	
DCTN4	1	DCTN4	
RUBCN	1	RUBCN	
EFNA3	1	EFNA3	
ZMYM3	1	ZMYM3	
AREL1	1	AREL1	
HP1BP3	1	HP1BP3	
PORCN	1	PORCN	
FAM117A	1	FAM117A	
KLF12	1	KLF12	
RAD23A	1	RAD23A	
TMEM14B	1	TMEM14B	
SIN3B	1	SIN3B	
FNDC3B	1	FNDC3B	
XK	1	XK	
ZNF121	1	ZNF121	
CCP110	1	CCP110	
CAB39L	1	CAB39L	
PSMB2	1	PSMB2	
HMGB3	1	HMGB3	
PER2	1	PER2	
ARFGEF2	1	ARFGEF2	
PYM1	1	PYM1	
OS9	1	OS9	
TIMP4	1	TIMP4	
FOXK1	1	FOXK1	
POMP	1	POMP	
TWF2	1	TWF2	
ZBED9	1	ZBED9	
PSMA6	1	PSMA6	
MOB1B	1	MOB1B	
ZNF101	1	ZNF101	
NSUN4	1	NSUN4	
RIMOC1	1	C5orf51	
LINC01011	1	LINC01011	
WAS	1	WAS	
MRPS34	1	MRPS34	
MMS19	1	MMS19	
CNIH3	1	CNIH3	
ZNF275	1	ZNF275	
BNIP2	1	BNIP2	
VPS72	1	VPS72	
XRCC6	1	XRCC6	
RIC8A	1	RIC8A	
MAPKAPK5-AS1	1	MAPKAPK5-AS1	
DCTN3	1	DCTN3	
ATG12	1	ATG12	
PCBD1	1	PCBD1	
TMEM35A	1	TMEM35A	
SYVN1	1	SYVN1	
JAKMIP2	1	JAKMIP2	
EHBP1	1	EHBP1	
ZMPSTE24	1	ZMPSTE24	
ISOC1	1	ISOC1	
SRSF11	1	SRSF11	
TMEM161A	1	TMEM161A	
ITGAE	1	ITGAE	
NUDCD2	1	NUDCD2	
NDST2	1	NDST2	
MTA1-DT	1	AL928654.1	
MED24	1	MED24	
HSPA9	1	HSPA9	
NCAM1	1	NCAM1	
NUP88	1	NUP88	
LGALSL	1	LGALSL	
PRKCA	1	PRKCA	
CYP51A1	1	CYP51A1	
CD4	1	CD4	
MTCL1	1	MTCL1	
TMA7	1	TMA7	
MTM1	1	MTM1	
OCIAD1	1	OCIAD1	
TMEM126B	1	TMEM126B	
ZFAT	1	ZFAT	
STMN1	1	STMN1	
ITGB5	1	ITGB5	
MEN1	1	MEN1	
TRAPPC2L	1	TRAPPC2L	
CCNYL1	1	CCNYL1	
PTPN3	1	PTPN3	
GAS2L1	1	GAS2L1	
PAG1	1	PAG1	
MRO	1	MRO	
FLOT1	1	FLOT1	
GORASP2	1	GORASP2	
FAM227B	1	FAM227B	
MSH6	1	MSH6	
LYPLA1	1	LYPLA1	
ZNF793-AS1	1	ZNF793-AS1	
PITRM1	1	PITRM1	
CANX	1	CANX	
NAA25	1	NAA25	
RALA	1	RALA	
CD109	1	CD109	
SERTAD2	1	SERTAD2	
MED18	1	MED18	
LINC03070	1	AC110995.1	
PIH1D1	1	PIH1D1	
FKBP4	1	FKBP4	
LETMD1	1	LETMD1	
PGS1	1	PGS1	
CMC1	1	CMC1	
C1orf167	1	C1orf167	
NIM1K	1	NIM1K	
NDUFS8	1	NDUFS8	
CSNK2B	1	CSNK2B	
PTPN4	1	PTPN4	
SLC10A5	1	SLC10A5	
C11orf68	1	C11orf68	
VBP1	1	VBP1	
TAF1C	1	TAF1C	
NBPF11	1	NBPF11	
GFPT1	1	GFPT1	
PDE4B	1	PDE4B	
TTBK1	1	TTBK1	
VANGL1	1	VANGL1	
SETDB1	1	SETDB1	
TMEM222	1	TMEM222	
MRPL3	1	MRPL3	
PPP6R2	1	PPP6R2	
MORF4L1	1	MORF4L1	
ZMIZ2	1	ZMIZ2	
MEG9	1	MEG9	
ABCD4	1	ABCD4	
PDE4DIP	1	PDE4DIP	
SCOC-AS1	1	SCOC-AS1	
PANK2	1	PANK2	
TMX2	1	TMX2	
MBOAT7	1	MBOAT7	
ZNF354B	1	ZNF354B	
LINC02591	1	LINC02591	
PEBP1	1	PEBP1	
MKRN2	1	MKRN2	
GEN1	1	GEN1	
RNF10	1	RNF10	
CUTC	1	CUTC	
PPP1CC	1	PPP1CC	
PEPD	1	PEPD	
MED20	1	MED20	
DEGS1	1	DEGS1	
FGD6	1	FGD6	
GNG10	1	GNG10	
PRR14L	1	PRR14L	
NOL11	1	NOL11	
ANKFY1	1	ANKFY1	
VPS28	1	VPS28	
STXBP1	1	STXBP1	
PGRMC1	1	PGRMC1	
RFXAP	1	RFXAP	
FAM66C	1	FAM66C	
AMIGO3	1	AMIGO3	
FAM107B	1	FAM107B	
ARCN1	1	ARCN1	
EFCAB7	1	EFCAB7	
UBXN2B	1	UBXN2B	
SNAI3-AS1	1	SNAI3-AS1	
RAP2B	1	RAP2B	
YPEL4	1	YPEL4	
PDZD4	1	PDZD4	
CASKIN1	1	CASKIN1	
MAU2	1	MAU2	
KLF16	1	KLF16	
SEPTIN8	1	SEPTIN8	
GNB2	1	GNB2	
SEMA6B	1	SEMA6B	
VMO1	1	VMO1	
NCBP2	1	NCBP2	
KIF1A	1	KIF1A	
ME2	1	ME2	
HELZ	1	HELZ	
SMARCA5	1	SMARCA5	
CRELD2	1	CRELD2	
NMD3	1	NMD3	
ZNF407-AS1	1	LINC00909	
CNOT3	1	CNOT3	
POLR3C	1	POLR3C	
SYS1	1	SYS1	
AMZ1	1	AMZ1	
ATP6V0E2-AS1	1	ATP6V0E2-AS1	
ST3GAL5	1	ST3GAL5	
PPAT	1	PPAT	
MORC3	1	MORC3	
CPLANE2	1	CPLANE2	
UQCRB	1	UQCRB	
EDC3	1	EDC3	
RNF31	1	RNF31	
DENND10	1	DENND10	
TDP1	1	TDP1	
NFU1	1	NFU1	
UBE2G1	1	UBE2G1	
PLXNA2	1	PLXNA2	
TRAPPC3	1	TRAPPC3	
PSMA2	1	PSMA2	
CDYL	1	CDYL	
BNIP3L	1	BNIP3L	
IRF7	1	IRF7	
GRIA3	1	GRIA3	
ANKS3	1	ANKS3	
ANKRD2	1	ANKRD2	
BAD	1	BAD	
QRSL1	1	QRSL1	
GTPBP10	1	GTPBP10	
HTRA2	1	HTRA2	
LINC01341	1	LINC01341	
TOX4	1	TOX4	
TSFM	1	TSFM	
SHISA7	1	SHISA7	
QPCT	1	QPCT	
SNX25	1	SNX25	
GPBP1	1	GPBP1	
SAR1A	1	SAR1A	
FAH	1	FAH	
PSD3	1	PSD3	
OAZ2	1	OAZ2	
CDH22	1	CDH22	
JPT2	1	JPT2	
APPBP2	1	APPBP2	
VKORC1	1	VKORC1	
MTMR11	1	MTMR11	
CNPY3	1	CNPY3	
BCL2	1	BCL2	
ADGRG1	1	ADGRG1	
TMEM234	1	TMEM234	
PRKCI	1	PRKCI	
SHPRH	1	SHPRH	
PAPSS1	1	PAPSS1	
PAQR8	1	PAQR8	
NHLRC2	1	NHLRC2	
WASHC3	1	WASHC3	
TRAF6	1	TRAF6	
HPF1	1	HPF1	
SLC14A1	1	SLC14A1	
USP3	1	USP3	
LINC02035	1	LINC02035	
KRR1	1	KRR1	
ATF2	1	ATF2	
AK7	1	AK7	
ARHGEF26-AS1	1	ARHGEF26-AS1	
SSBP4	1	SSBP4	
LYRM4	1	LYRM4	
CHM	1	CHM	
SETD2	1	SETD2	
PIGB	1	PIGB	
COG1	1	COG1	
UBE3C	1	UBE3C	
MXD3	1	MXD3	
DICER1	1	DICER1	
GPS1	1	GPS1	
PIANP	1	PIANP	
WDR5	1	WDR5	
SNX7	1	SNX7	
ACBD7	1	ACBD7	
CADM4	1	CADM4	
KPNA6	1	KPNA6	
DHX30	1	DHX30	
C19orf73	1	C19orf73	
TSR1	1	TSR1	
RFX3	1	RFX3	
RCC1	1	RCC1	
PLPP6	1	PLPP6	
KAT5	1	KAT5	
GRID1	1	GRID1	
ZNF614	1	ZNF614	
PCNP	1	PCNP	
ITPRIPL2	1	ITPRIPL2	
PPP2R3C	1	PPP2R3C	
NIPSNAP1	1	NIPSNAP1	
IRAG1-AS1	1	MRVI1-AS1	
TIA1	1	TIA1	
AKAP17A	1	AKAP17A	
EIF2A	1	EIF2A	
TOMM20	1	TOMM20	
ZNF358	1	ZNF358	
PDZRN3	1	PDZRN3	
ZMYND11	1	ZMYND11	
TEP1	1	TEP1	
MX2	1	MX2	
UNC13C	1	UNC13C	
FCF1	1	FCF1	
FEM1A	1	FEM1A	
TBC1D23	1	TBC1D23	
POLR3F	1	POLR3F	
WNT6	1	WNT6	
EFR3A	1	EFR3A	
SCFD1	1	SCFD1	
ZUP1	1	ZUP1	
STX12	1	STX12	
DPH2	1	DPH2	
PIGX	1	PIGX	
TXNDC15	1	TXNDC15	
ST6GALNAC5	1	ST6GALNAC5	
UBLCP1	1	UBLCP1	
KMT2A	1	KMT2A	
MARCKSL1	1	MARCKSL1	
LARS2	1	LARS2	
PTPRS	1	PTPRS	
CEP120	1	CEP120	
EPHX2	1	EPHX2	
PARK7	1	PARK7	
SUV39H1	1	SUV39H1	
CINP	1	CINP	
MTHFD1	1	MTHFD1	
ITPR1	1	ITPR1	
SPEG	1	SPEG	
INCENP	1	INCENP	
ZNF268	1	ZNF268	
RERE	1	RERE	
PSMB6	1	PSMB6	
AARS1	1	AARS	
UBXN10	1	UBXN10	
CDH7	1	CDH7	
LUC7L	1	LUC7L	
ABHD5	1	ABHD5	
TIMP2	1	TIMP2	
TMEM266	1	TMEM266	
CIART	1	CIART	
TOMM5	1	TOMM5	
FUBP1	1	FUBP1	
NHLRC3	1	NHLRC3	
SRPRA	1	SRPRA	
ENTPD6	1	ENTPD6	
GNPDA1	1	GNPDA1	
NR2C2AP	1	NR2C2AP	
VWA5A	1	VWA5A	
CSRNP2	1	CSRNP2	
ARAP1	1	ARAP1	
SCN2B	1	SCN2B	
GPATCH1	1	GPATCH1	
SPRED2	1	SPRED2	
B4GALT4	1	B4GALT4	
CDIP1	1	CDIP1	
PLXNB1	1	PLXNB1	
C3	1	C3	
ARFIP1	1	ARFIP1	
SUV39H2	1	SUV39H2	
C6orf62	1	C6orf62	
WBP1L	1	WBP1L	
SLC4A10	1	SLC4A10	
ACOX2	1	ACOX2	
PPP4R2	1	PPP4R2	
TBCB	1	TBCB	
ZNF714	1	ZNF714	
BASP1-AS1	1	BASP1-AS1	
PPIL3	1	PPIL3	
HTT	1	HTT	
PIK3C3	1	PIK3C3	
TMPRSS3	1	TMPRSS3	
ABCC10	1	ABCC10	
JPH1	1	JPH1	
SLC44A1	1	SLC44A1	
UQCR11	1	UQCR11	
AP2M1	1	AP2M1	
ZNF670	1	ZNF670	
PRMT1	1	PRMT1	
FRAT1	1	FRAT1	
ACKR2	1	ACKR2	
EIF2B2	1	EIF2B2	
WSCD2	1	WSCD2	
WAPL	1	WAPL	
POMGNT1	1	POMGNT1	
SMG5	1	SMG5	
HPRT1	1	HPRT1	
SLC7A6OS	1	SLC7A6OS	
EFCAB5	1	EFCAB5	
RABIF	1	RABIF	
UPF3A	1	UPF3A	
PPIC	1	PPIC	
PPP1R37	1	PPP1R37	
ZNF624	1	ZNF624	
CENPQ	1	CENPQ	
GRN	1	GRN	
LIG3	1	LIG3	
LRFN4	1	LRFN4	
RPP40	1	RPP40	
IMMP1L	1	IMMP1L	
SNAPC2	1	SNAPC2	
RFC2	1	RFC2	
PWWP2A	1	PWWP2A	
ASCC1	1	ASCC1	
SPTBN4	1	SPTBN4	
RTRAF	1	RTRAF	
FBXL19	1	FBXL19	
POMT1	1	POMT1	
C1GALT1C1	1	C1GALT1C1	
CD200	1	CD200	
NUP58	1	NUP58	
NDUFB6	1	NDUFB6	
RFNG	1	RFNG	
DSN1	1	DSN1	
SYNDIG1L	1	SYNDIG1L	
PRKCH	1	PRKCH	
TRAPPC2B	1	TRAPPC2B	
PFKP	1	PFKP	
RFPL2	1	RFPL2	
GPBP1L1	1	GPBP1L1	
TRIM24	1	TRIM24	
PRDX1	1	PRDX1	
HSD17B12	1	HSD17B12	
NR2F1	1	NR2F1	
ATP6AP2	1	ATP6AP2	
HEATR1	1	HEATR1	
NUPR2	1	NUPR2	
ZNF620	1	ZNF620	
SNPH	1	SNPH	
GSTM5	1	GSTM5	
SYAP1	1	SYAP1	
ZNF131	1	ZNF131	
ZNF100	1	ZNF100	
PHC1	1	PHC1	
EDRF1	1	EDRF1	
RASGRP3	1	RASGRP3	
AGPAT5	1	AGPAT5	
MTMR1	1	MTMR1	
INTS3	1	INTS3	
IFT27	1	IFT27	
MRPS5	1	MRPS5	
RTCB	1	RTCB	
CHRNE	1	CHRNE	
ELOB	1	ELOB	
MANF	1	MANF	
TMEM14C	1	TMEM14C	
QSER1	1	QSER1	
C6orf89	1	C6orf89	
SMIM14	1	SMIM14	
MAP7D2	1	MAP7D2	
BAIAP3	1	BAIAP3	
DPP8	1	DPP8	
ZNF416	1	ZNF416	
MRPS24	1	MRPS24	
RFTN1	1	RFTN1	
FMN2	1	FMN2	
JMJD1C	1	JMJD1C	
GAN	1	GAN	
USP25	1	USP25	
VIPAS39	1	VIPAS39	
CYP1B1	1	CYP1B1	
SLC52A2	1	SLC52A2	
MC1R	1	MC1R	
CRK	1	CRK	
NT5C	1	NT5C	
HIP1	1	HIP1	
OTUD4	1	OTUD4	
CDK5RAP1	1	CDK5RAP1	
GPI	1	GPI	
XRCC1	1	XRCC1	
ZNF253	1	ZNF253	
FIP1L1	1	FIP1L1	
ASAH2B	1	ASAH2B	
CCDC12	1	CCDC12	
GNG11	1	GNG11	
MDM1	1	MDM1	
SLC35F5	1	SLC35F5	
UROS	1	UROS	
MINDY4	1	MINDY4	
SPIN3	1	SPIN3	
MRGBP	1	MRGBP	
GALNT1	1	GALNT1	
BCAM	1	BCAM	
ZNF611	1	ZNF611	
GALC	1	GALC	
UNG	1	UNG	
INTS1	1	INTS1	
HAUS6	1	HAUS6	
PREX2	1	PREX2	
HYCC1	1	FAM126A	
SGSM3	1	SGSM3	
AGFG2	1	AGFG2	
LRFN5	1	LRFN5	
SCAF4	1	SCAF4	
FAM174A	1	FAM174A	
RBAKDN	1	RBAKDN	
FAM32A	1	FAM32A	
PCBP1	1	PCBP1	
B3GAT3	1	B3GAT3	
C3orf33	1	C3orf33	
EIF4EBP2	1	EIF4EBP2	
SLC35F6	1	SLC35F6	
TYW1	1	TYW1	
TLE4	1	TLE4	
GNG12	1	GNG12	
CREBZF	1	CREBZF	
MAGOHB	1	MAGOHB	
ENPP4	1	ENPP4	
NFIX	1	NFIX	
DDAH2	1	DDAH2	
BSDC1	1	BSDC1	
RNASEH1-DT	1	RNASEH1-AS1	
SPHK2	1	SPHK2	
TWNK	1	TWNK	
CABP1	1	CABP1	
QSOX2	1	QSOX2	
CCDC74A	1	CCDC74A	
TTC14	1	TTC14	
ASXL2	1	ASXL2	
FUNDC1	1	FUNDC1	
GABRG1	1	GABRG1	
NOC2L	1	NOC2L	
PCDH17	1	PCDH17	
NPRL2	1	NPRL2	
PSTK	1	PSTK	
ADPRS	1	ADPRHL2	
DOCK1	1	DOCK1	
MMP23B	1	MMP23B	
SLC12A5-AS1	1	SLC12A5-AS1	
PACS2	1	PACS2	
NHSL2	1	NHSL2	
TP53INP2	1	TP53INP2	
CCNA1	1	CCNA1	
DERL1	1	DERL1	
CECR2	1	CECR2	
RHEB	1	RHEB	
PNMA2	1	PNMA2	
GLS2	1	GLS2	
MCM6	1	MCM6	
DDX39A	1	DDX39A	
TAOK3	1	TAOK3	
TIMM29	1	TIMM29	
MRPL54	1	MRPL54	
THAP1	1	THAP1	
ZNF385A	1	ZNF385A	
SPRY3	1	SPRY3	
RPL26L1	1	RPL26L1	
GMEB2	1	GMEB2	
ECSIT	1	ECSIT	
RSBN1	1	RSBN1	
DYNLT3	1	DYNLT3	
NTMT1	1	NTMT1	
SNU13	1	SNU13	
EDF1	1	EDF1	
CCT6B	1	CCT6B	
COMMD1	1	COMMD1	
KBTBD8	1	KBTBD8	
COX19	1	COX19	
ZNF773	1	ZNF773	
HLA-DPA1	1	HLA-DPA1	
MYCN	1	MYCN	
BCLAF3	1	BCLAF3	
GADD45A	1	GADD45A	
STAM-DT	1	STAM-AS1	
GALNT13	1	GALNT13	
LGMN	1	LGMN	
TOE1	1	TOE1	
NAGA	1	NAGA	
ATP13A3	1	ATP13A3	
RGS11	1	RGS11	
ARL16	1	ARL16	
KMT2C	1	KMT2C	
OCRL	1	OCRL	
OSBPL7	1	OSBPL7	
MTF2	1	MTF2	
LAMTOR5	1	LAMTOR5	
NR1H3	1	NR1H3	
SMG1	1	SMG1	
IDH3G	1	IDH3G	
TEN1	1	TEN1	
MSRA	1	MSRA	
TADA2B	1	TADA2B	
GTF2H5	1	GTF2H5	
UBQLN4	1	UBQLN4	
LASP1	1	LASP1	
DNAJA1	1	DNAJA1	
NSMAF	1	NSMAF	
GCDH	1	GCDH	
TACC2	1	TACC2	
APOO	1	APOO	
PRKN	1	PRKN	
TMEM163	1	TMEM163	
MRPL35	1	MRPL35	
LAGE3	1	LAGE3	
CCN3	1	CCN3	
TMUB1	1	TMUB1	
SPTBN1	1	SPTBN1	
TATDN3	1	TATDN3	
TET2	1	TET2	
RILPL1	1	RILPL1	
CYP21A2	1	CYP21A2	
MAML1	1	MAML1	
SMPDL3A	1	SMPDL3A	
HIGD2A	1	HIGD2A	
MED28	1	MED28	
ZFAND5	1	ZFAND5	
ATP6V1G1	1	ATP6V1G1	
KDM3A	1	KDM3A	
FAM135A	1	FAM135A	
TMED2	1	TMED2	
PARL	1	PARL	
SLC26A6	1	SLC26A6	
TTC21B	1	TTC21B	
TIMM44	1	TIMM44	
UBE2J2	1	UBE2J2	
ACO1	1	ACO1	
EFS	1	EFS	
NUP155	1	NUP155	
DNAJC18	1	DNAJC18	
PNPLA7	1	PNPLA7	
HNRNPH3	1	HNRNPH3	
CPVL	1	CPVL	
PPIA	1	PPIA	
TIMM8B	1	TIMM8B	
SPCS2	1	SPCS2	
POLR2A	1	POLR2A	
SFT2D2	1	SFT2D2	
RPL37A	1	RPL37A	
DCTPP1	1	DCTPP1	
BRSK2	1	BRSK2	
ALYREF	1	ALYREF	
ING5	1	ING5	
USP16	1	USP16	
MIR99AHG	1	MIR99AHG	
RPN1	1	RPN1	
ABL1	1	ABL1	
SF3B1	1	SF3B1	
MICOS13	1	MICOS13	
GK	1	GK	
WSB1	1	WSB1	
ISOC2	1	ISOC2	
MAP3K6	1	MAP3K6	
PATZ1	1	PATZ1	
TMEM91	1	TMEM91	
SDAD1	1	SDAD1	
RABEPK	1	RABEPK	
PPP2R5B	1	PPP2R5B	
PYGB	1	PYGB	
ZNF577	1	ZNF577	
VPS36	1	VPS36	
SON	1	SON	
CHAMP1	1	CHAMP1	
CCDC93	1	CCDC93	
CENPX	1	CENPX	
GLT8D1	1	GLT8D1	
PPP4R3B	1	PPP4R3B	
C11orf58	1	C11orf58	
CYTH3	1	CYTH3	
COQ3	1	COQ3	
GABPB2	1	GABPB2	
NDUFB9	1	NDUFB9	
NSUN5	1	NSUN5	
NR2F2	1	NR2F2	
ATXN7	1	ATXN7	
PRPF8	1	PRPF8	
DLG5	1	DLG5	
RBM23	1	RBM23	
RHBDF1	1	RHBDF1	
ZNF143	1	ZNF143	
YIPF2	1	YIPF2	
RRBP1	1	RRBP1	
SPX	1	SPX	
RNF207	1	RNF207	
AUP1	1	AUP1	
