Barcode,UMAP-1,UMAP-2
aagmpgci-1,8.970654484235903,3.7216271842179047
aagokkkp-1,8.67503898102566,3.6097162773640767
aahbgcfd-1,8.284692976937281,4.080480140727279
aahcehpm-1,8.842927574487659,3.909791919444628
aahdaphb-1,8.77298911708319,3.74278362789218
aahecpec-1,8.771907973937596,3.7016464497329133
aahfgmoa-1,8.726035018785385,3.6397167380133273
aahfhkck-1,7.797940809079067,3.8446924781964498
aahfjjao-1,-7.441230120205552,-5.034170943612101
aahglpjf-1,8.705590988169652,3.476084849688137
aahhbpah-1,6.184478401088823,3.148952199397944
aahihaci-1,8.454768578610787,3.6948841073525918
aahjlnbh-1,-4.748718889314267,-5.377218398617898
aahkckgk-1,-5.6241684240454095,-5.145276100125768
aahkjfkb-1,7.775379126867567,3.720905842729949
aahlejgp-1,7.0021146237014875,3.35292955752666
aahlogie-1,4.785080460846059,2.878466005373025
aahmogej-1,1.1586280867813705,1.7014814803669795
aahmpgdg-1,-7.228584555429724,7.062382545680959
aahobddj-1,8.636913301782515,3.5853974091530088
aahpehff-1,1.7829326193088528,2.0119192763432125
aahplffk-1,1.4661808563012115,2.1671816816678318
aaibkemi-1,8.225041336049955,3.0807028391868814
aaicalnl-1,7.9320009384421954,3.6779576382436945
aaidgafm-1,2.249041178787911,2.7103700343740154
aaiedgom-1,8.567050616468038,3.5317007244502547
aaiekloc-1,2.5156394776302973,1.9501020571318401
aaijhblf-1,-6.123613703223156,6.394722176766251
aaiknaap-1,1.7721076957936812,0.5762322242578443
aaildpji-1,7.942511042534867,3.49945862886496
aaioppin-1,-6.115092964964451,6.485423874268932
aajailin-1,6.741490302994921,3.3539712464900364
aajanihe-1,-7.453271893924997,6.6843512465357104
aajbgobf-1,5.670659199191454,2.864058134055628
aajcikeh-1,-8.373084842581292,6.55200161391466
aajddenj-1,-7.779490777826192,7.130375630985666
aajdnoja-1,0.6934824821885333,-1.279466382668095
aajekdnd-1,1.9140631413233358,2.7049345293562097
aajfgodc-1,-3.806947999409468,-2.667608052631095
aajfhfbl-1,1.347573878479601,1.2371818250981366
aajippmc-1,-7.874011844104092,6.885914238598924
aajjlejk-1,-6.868196802073524,6.831332089919669
aajkaflg-1,-5.495884867693714,6.209649308857619
aajmaamh-1,-7.413331576707272,6.68743725282427
aajmligi-1,-5.894995210891426,6.3597702115377555
aajnaabe-1,-8.399040758694996,6.366566950306383
aajnjpbb-1,-6.101334015963356,-4.974163206874301
aajnpmap-1,8.804934342981998,3.5817847062448935
aakafobd-1,3.884290540041324,2.411349555660101
aakchach-1,8.646661588140729,3.357232745877169
