Barcode,Cluster
abhnpghi-1,2
abhokmkf-1,3
abhphfko-1,2
abhpnahh-1,1
abibfnjn-1,3
abifoccc-1,2
abifpooi-1,1
abiggaag-1,1
abijfdoc-1,3
abijkmna-1,1
abikikhk-1,3
abinbngd-1,1
abincahi-1,2
abincpba-1,1
abinhpce-1,1
abiolbok-1,1
abjaihcb-1,1
abjakfpo-1,3
abjaljjd-1,1
abjanklh-1,1
abjbadmc-1,1
abjbimjo-1,1
abjcnlkd-1,2
abjcnlkh-1,3
abjdibpn-1,1
abjdjdbn-1,1
abjdmhnc-1,3
abjeccgo-1,2
abjgmmao-1,1
abjhdgoo-1,1
abjhfaej-1,1
abjjdbfb-1,3
abjjlekd-1,1
abjlmegk-1,3
abjniiam-1,1
abjnjhen-1,3
abjocmkf-1,1
abkakhjl-1,1
abkbbfmg-1,1
abkboipi-1,1
abkdobin-1,3
abkfgfln-1,3
abkfhhaj-1,2
abkfjbnj-1,1
abkfmbim-1,1
abkfocce-1,2
abkgenjo-1,2
abkhkjhm-1,1
abkihejg-1,3
abkiiioo-1,1
abkjijjb-1,2
abkjlnch-1,3
abkkaakd-1,1
abkkjpkl-1,1
abkkpfnd-1,1
abklffnp-1,1
abklfoda-1,1
abkmbcoo-1,1
abkmiibe-1,1
abkodpfj-1,2
abkokhhj-1,3
abkpjldm-1,1
ablabekp-1,3
ablacppa-1,2
ablbhjik-1,1
ablbkcpe-1,3
ablbncgh-1,1
ablclblh-1,1
abldhccj-1,1
abldobom-1,1
ableegod-1,2
ablfcgbp-1,2
ablgmbcm-1,1
ablijehp-1,3
ablkndop-1,1
ablllfll-1,3
ablnokpp-1,3
ablohbil-1,1
ablpamhg-1,1
ablpifbb-1,2
abmaclnm-1,2
abmaelic-1,1
abmbbhcg-1,1
abmbjcjh-1,3
abmcbgpf-1,1
abmcdekf-1,1
abmdelhh-1,2
abmeclgo-1,1
abmfdngg-1,1
abmhldcj-1,1
abmieihj-1,3
abmihpmj-1,1
abmimnka-1,1
abmlhhnb-1,1
abmnicen-1,1
abmoddhh-1,2
abmoooac-1,2
abmplpjj-1,1
abnajopl-1,1
abnakmom-1,1
abnbgjdn-1,2
abnbnkgi-1,1
abndcmji-1,1
abndkhec-1,1
abndohaa-1,1
abndohok-1,1
abnebgkh-1,2
abnepbmd-1,1
abngickc-1,2
abnjdgob-1,1
abnjgbma-1,1
abnlckgl-1,1
abnledah-1,1
abnlelnl-1,3
abnlokgf-1,2
abnmanka-1,1
abnnflge-1,2
aboamfae-1,1
abobobbk-1,1
abodopfo-1,1
abodphcl-1,3
aboeoddf-1,2
abogfmfe-1,1
abohepgi-1,2
aboieiad-1,3
aboipdob-1,2
abojgfbe-1,1
abojiili-1,1
abokdhfc-1,2
abokhdob-1,1
abokofpk-1,3
abollhga-1,1
abomkahg-1,2
abopckgm-1,3
abpadgpj-1,1
abpaeplb-1,1
abpbecgn-1,3
abpcbmdp-1,1
abpdbiid-1,2
abpdmphg-1,1
abpgbdla-1,1
abpgcjmm-1,1
abpggboh-1,1
abphhbnl-1,1
abphlkad-1,1
abpioimh-1,1
abpkjkhp-1,3
abpnfiek-1,1
abpninag-1,3
abpnpccb-1,1
abpoejlc-1,3
abpomlaj-1,1
abpphcfo-1,1
acaadgll-1,1
acabbkpp-1,1
acacgjfh-1,2
acadedik-1,1
acafcllg-1,2
acagpbnl-1,1
acahckho-1,3
acaidhcn-1,1
acaiidgo-1,1
acaikldc-1,3
acaipblp-1,1
acajdeki-1,1
acakmpoh-1,3
acakolpj-1,1
acalhbbi-1,1
acanaion-1,3
acanhckp-1,1
acanodgp-1,1
acaoemig-1,3
acaojggc-1,1
acapbjjn-1,1
acbaalgi-1,1
acbafgga-1,1
acbamjnk-1,1
acbbchbh-1,1
acbcpdfo-1,1
acbdcmgn-1,1
acbealnf-1,3
acbfdfbm-1,1
acbffpcd-1,2
acbfokep-1,1
acbfpcil-1,1
acbgfdjk-1,3
acbgknko-1,2
acbhknhe-1,1
acbhnoki-1,1
acbjhkch-1,3
acbkepke-1,3
acbldijf-1,1
acbmkjdh-1,1
acbmnnnb-1,3
acbnoflf-1,3
acbokapg-1,3
acbopabo-1,3
acbpmhha-1,3
accabflk-1,3
accaeelh-1,1
accaingh-1,2
accampfj-1,1
accfngcb-1,1
accfpmle-1,1
acchhpjh-1,3
acchnfnh-1,1
accicdcf-1,1
accindmf-1,1
accjckga-1,3
accjeohg-1,1
acckgjhg-1,1
acckhiho-1,1
acclbngb-1,1
acclecjj-1,1
accmibaa-1,2
accncedp-1,2
accnkoji-1,1
accnnibk-1,1
accoppac-1,1
accpkhjk-1,3
accppahd-1,1
acdagmla-1,2
acdbegod-1,1
acdbijme-1,1
acdbpaeb-1,3
acdebpme-1,1
acdefddl-1,1
acdegaje-1,1
acdggkmb-1,1
acdgjomg-1,1
acdglhak-1,1
acdhgmfj-1,1
acdibjmj-1,1
acdiblnb-1,1
acdjnjcf-1,3
acdmgjle-1,1
acdmhgia-1,1
acdmonjn-1,1
acdnibcj-1,3
acdnkjin-1,1
acdnofha-1,1
