Barcode,UMAP-1,UMAP-2
aacmdodp-1,2.822483291098996,-5.913628856638515
aacmfhak-1,0.34124165460219863,-1.4010891331338875
aacmpaao-1,5.362204553186943,7.614160998749258
aacmpbfm-1,4.809262630898805,-2.508482338923306
aacnidle-1,-0.8447642274407561,-0.9817538297986301
aacnmfdo-1,4.037443115184769,-5.4030841285333
aacodogh-1,4.989866309385691,7.864374770688364
aacoeoij-1,4.383171042016962,-1.9881209977108325
aacpfpcg-1,5.338150349850184,-2.6515376224543723
aacpgnfm-1,-1.5575961981302366,-0.799936678261546
aacpmjeb-1,4.808077446779506,-3.1496691251786846
aadahpna-1,3.4228476762035114,-1.2086341891902965
aadbbmoo-1,8.050686171262448,1.6565656553870878
aadbhhfe-1,6.227708727602222,-1.2376451381304117
aadbmffd-1,2.6380711014533813,-1.7408831021060853
aaddoljn-1,3.761417713791346,-1.4460379533009542
aadegkaf-1,4.906214026399652,8.431268737795174
aadehfom-1,5.148588029523447,8.322519830600566
aadfkelg-1,-1.4370524085716245,-0.8514959298713323
aadgadkk-1,4.229067017593701,-1.7946440074979704
aadgkihn-1,8.71108571671656,1.7765725155250636
aadgliap-1,4.404950251831795,-3.3930171275741494
aadhdhff-1,8.764585515106615,0.8978148857255586
aadiadld-1,3.6174924129340575,-1.3677620529753989
aadkhbdg-1,3.932759815429222,-5.9288924201053534
aadklhnc-1,5.170616544334697,-1.8004134653187043
aadlaapj-1,-1.422105209503127,-0.7487297005459248
aadmdjhk-1,-1.361660691968538,-0.8655741015417909
aadmeohd-1,8.28392611511518,2.267744428953363
aadnoble-1,-1.428118284027673,-0.8958301259247288
aadoabmp-1,8.127719742759899,1.8312001186944378
aadoecil-1,-0.8841054666178045,-1.105258338273
aadoheha-1,7.920516240521225,-0.00434894224499759
aadoihef-1,8.642953286192258,1.3152918780426428
aadpobih-1,3.167547230602685,-1.2854391079080314
aadpppdj-1,3.581695215732193,-1.1922791927265193
aaebjija-1,7.813802816581001,-0.24123251253121947
aaeedmml-1,3.064174463353175,-6.134665539822521
aaefakpm-1,4.198088342178433,-1.877556338603359
aaefeekk-1,8.141547150904978,0.9771124089435089
aaegjebb-1,4.145657731286115,-4.210870192866429
aaeglgbk-1,3.580955608593881,-2.422052727112288
aaekeeap-1,8.762342583754194,1.8134371391556838
aaekjgei-1,8.202979220775454,2.4716982742818323
aaemnmil-1,4.199108275952038,-5.572918863704308
aafaiidg-1,3.4445295673121405,-5.735438602853552
aafdgedg-1,4.56646497542619,-3.2178543871336185
aafdnlon-1,8.643140856469264,0.671040038481584
aaffdegh-1,7.802825381583461,0.5535539193081286
aafgacbe-1,3.7761616303404417,-1.0392957063149406
aafhbgmc-1,8.840024605577023,2.0629477125282016
aaflcnle-1,5.582271515108031,-0.8091339429733263
aafmckdi-1,8.983600071736822,1.5223003127070007
aafnndgm-1,5.647604453103285,-1.4418683436140871
aafnodpc-1,3.983238383457483,-2.585756199882479
aagaonpb-1,4.807350969326074,-1.7045727113701217
aagbmolj-1,5.466753258143978,-1.9608870890575651
aagcbegn-1,3.09587100130252,4.498269972337951
aagcmfdl-1,2.9043251287449916,-6.275823518000009
aagdhfaf-1,6.9150727726534615,-0.40873018215706447
aagegkjd-1,2.6979968481042023,-1.6772796713356448
aageoabj-1,2.9082793485250518,-1.23892967787668
aageojak-1,8.158373917347026,2.144524708613702
aagfgbhn-1,7.795930858558056,0.050345280216056776
aagfkjcl-1,8.287707935894783,1.2015072376558864
aaggpobp-1,7.041830057274798,1.4872033871767134
aagifefe-1,5.157130454697772,-2.0535428888230935
aagjcbml-1,4.081716626901109,-4.883015181004317
aaglohhp-1,3.91119910238686,-1.7156171013723258
aagmheia-1,8.881454684966707,1.0554206206032952
aagndjip-1,4.185723647740941,-4.547820916169036
aagnopmk-1,8.192302875595368,0.7043614932406966
aagobihb-1,2.8175319448726124,-0.8922068691659384
aagoncdc-1,8.35196139319109,1.6993135631533964
aagpkdbf-1,8.742297421706802,2.0679890577590543
aahbppah-1,8.736767010796825,0.5666973852576724
aahdcnie-1,4.777259692313916,-3.3143546697845716
aahdddmn-1,7.992253555247583,1.555304611224099
aahdpnjk-1,3.71251376113479,-2.4202526504565522
aaheidbn-1,4.379943131097777,-3.9382956061915895
aahfhmhd-1,4.51031036718126,-4.226074078766961
aahfmapa-1,-1.9194556665123474,4.447733538477856
aahgjppi-1,7.998136488467896,0.7346260540248127
aahidkbj-1,8.905112241422119,2.0451180900960937
aahiobbc-1,7.034858055712884,-0.41129681122180134
aahjfppp-1,4.219827581567989,-5.31935286078342
aahjjdfi-1,7.221871267047249,1.1822635949414033
aahnghkh-1,5.11866434202062,7.213687347507762
aaiaknbf-1,2.9176376433087303,-1.0601970435619825
aaifilcc-1,3.709561337968733,-4.867302435606393
aaifnpbf-1,7.451110294083513,1.6787853996611395
aaikkakk-1,6.391154353722201,-0.08560369344187639
aainmcbe-1,5.261741824647863,-2.4731907769189116
aainmiic-1,3.7808051900200934,-5.9300569077411405
aaipaoca-1,2.5425397466494064,-6.692192929226492
